sku,image_path,product_name,category
JOVO-0001,product_images/product-0001.webp,البينار جبنة مغلية الربيع فاكيوم 500 غم,ألبان وأجبان
JOVO-1835,product_images/product-1835.webp,البينار برو فيت مشروب لبن عالي البروتين بطعم البسفلورا,ألبان وأجبان
JOVO-0203,product_images/product-0203.webp,بينار فرش اب 2 لتر,ألبان وأجبان
JOVO-1549,product_images/product-1549.webp,حليب طازج · 2/عبوة,ألبان وأجبان
JOVO-1563,product_images/product-1563.webp,الجبريني حليب طازج1ل,ألبان وأجبان
JOVO-0793,product_images/product-0793.webp,ارويد حليب جوزهند 1ل,ألبان وأجبان
JOVO-1260,product_images/product-1260.webp,كانديا جبنة مغلية 200غ,ألبان وأجبان
JOVO-1262,product_images/product-1262.webp,بوك جبنة كريمة قابلة للدهن 500غم,ألبان وأجبان
JOVO-3073,product_images/product-3073.webp,بوك قشطة 160غم,ألبان وأجبان
JOVO-1926,product_images/product-1926.webp,امبورج زبدة غير مملحة 100غم,ألبان وأجبان
JOVO-1686,product_images/product-1686.webp,افوكادو اسود مبكت 1كغم,خضار وفواكه طازجة
JOVO-3025,product_images/product-3025.webp,اجاص مستورد مبكت 1كغم,خضار وفواكه طازجة
JOVO-0115,product_images/product-0115.webp,بقدونس مبكت 1حبة,خضار وفواكه طازجة
JOVO-1687,product_images/product-1687.webp,باذنجان رفيع محفور 500غم,خضار وفواكه طازجة
JOVO-3026,product_images/product-3026.webp,برقوق احمر 500غم,خضار وفواكه طازجة
JOVO-0116,product_images/product-0116.webp,جرجير مبكت 1حبة,خضار وفواكه طازجة
JOVO-1688,product_images/product-1688.webp,باذنجان محاشي مبكت 1كغم,خضار وفواكه طازجة
JOVO-3027,product_images/product-3027.webp,برقوق اسود مبكت 500غم,خضار وفواكه طازجة
JOVO-0117,product_images/product-0117.webp,روزماري مبكت 1 حبة,خضار وفواكه طازجة
JOVO-1689,product_images/product-1689.webp,بروكلي مبكت 1حبة,خضار وفواكه طازجة
JOVO-1825,product_images/product-1825.webp,ريش خاروف 500غم,لحوم ودواجن وأسماك
JOVO-1817,product_images/product-1817.webp,اجنحة دجاج 500غم,لحوم ودواجن وأسماك
JOVO-0196,product_images/product-0196.webp,اسماك البايض فيليه باسا مجمد 1ك,لحوم ودواجن وأسماك
JOVO-2184,product_images/product-2184.webp,تنوفا سنيتشل اصابع سمسم 700غ,لحوم ودواجن وأسماك
JOVO-3311,product_images/product-3311.webp,الاسلامية بسطرما حبش مدخن 800غم,لحوم ودواجن وأسماك
JOVO-3328,product_images/product-3328.webp,الاسلامية بسطرما 200غم,لحوم ودواجن وأسماك
JOVO-0870,product_images/product-0870.webp,الاسلامية برجر دجاج 420غم,لحوم ودواجن وأسماك
JOVO-4189,product_images/product-4189.webp,الاسلامية كبانوس 250 غم,لحوم ودواجن وأسماك
JOVO-3243,product_images/product-3243.webp,بوندي شيف تونة حار140غم,لحوم ودواجن وأسماك
JOVO-3236,product_images/product-3236.webp,سنيورة لانشون بقري 225غم,لحوم ودواجن وأسماك
JOVO-1603,product_images/product-1603.webp,الاسلامية بازيلاء مع جزر 500 غم,المجمدات
JOVO-1036,product_images/product-1036.webp,بليسيما بيتزا مفرزة مرغريتا مع زيتون 370غم,المجمدات
JOVO-3828,product_images/product-3828.webp,سمرا اصابع موتزريلا ايطالية 600غم,المجمدات
JOVO-1604,product_images/product-1604.webp,الاسلامية جزر 500 غم,المجمدات
JOVO-1037,product_images/product-1037.webp,جولدن بطاطا زكزاك 1.5كغم,المجمدات
JOVO-3829,product_images/product-3829.webp,سمرا كبة لحم بالجوز 600غ,المجمدات
JOVO-1605,product_images/product-1605.webp,الاسلامية خضار مشكلة 500 غم,المجمدات
JOVO-1038,product_images/product-1038.webp,جولدن بطاطا ستيك1.5كغم,المجمدات
JOVO-3832,product_images/product-3832.webp,سنيورة سلامي بيتزا 300غم,المجمدات
JOVO-1606,product_images/product-1606.webp,الاسلامية ذرة 500 غم,المجمدات
JOVO-1583,product_images/product-1583.webp,الخضري خبز شعير 4 قطع,المخبوزات
JOVO-1594,product_images/product-1594.webp,النور خبز مشرح أبيض 600 غم,المخبوزات
JOVO-1587,product_images/product-1587.webp,تنور عادل خبز حمام 5ق,المخبوزات
JOVO-1598,product_images/product-1598.webp,دولسيسول توست ابيض 820غم,المخبوزات
JOVO-3289,product_images/product-3289.webp,الخضري قرشلة بالسمسم 850غم,المخبوزات
JOVO-1584,product_images/product-1584.webp,جبل خبز طابون بدون سكر,المخبوزات
JOVO-1596,product_images/product-1596.webp,تنور عادل خبز اسود,المخبوزات
JOVO-1590,product_images/product-1590.webp,دولسيسول خبز بطاطا برجر340غم,المخبوزات
JOVO-1599,product_images/product-1599.webp,دولسيسول توست اسود 820غم,المخبوزات
JOVO-1585,product_images/product-1585.webp,جبل خبز كماج اسود بدون سكر 1 ربطة,المخبوزات
JOVO-0097,product_images/product-0097.webp,الوليمة ارز بسمتي 1كغم,المواد التموينية
JOVO-3857,product_images/product-3857.webp,ابو عيطة رقم 2 350غم,المواد التموينية
JOVO-1057,product_images/product-1057.webp,سكر فضي 100 غم,المواد التموينية
JOVO-1092,product_images/product-1092.webp,الارض دقة 350غم,المواد التموينية
JOVO-2054,product_images/product-2054.webp,الزهراء باكنج باودر 5باكيت 10غم,المواد التموينية
JOVO-3995,product_images/product-3995.webp,80اوسم فرنش فانيلا بودينغ,المواد التموينية
JOVO-2105,product_images/product-2105.webp,البقره الحلوب سمنة 400غم,المواد التموينية
JOVO-1952,product_images/product-1952.webp,صالح خلف زيت جوز الهند 350مل,المواد التموينية
JOVO-1947,product_images/product-1947.webp,صالح خلف زيت زيتون 350مل,المواد التموينية
JOVO-1723,product_images/product-1723.webp,ابراهيم صلصة بندورة580غم,المواد التموينية
JOVO-3680,product_images/product-3680.webp,بفاريا برتقال علب 150مل,المشروبات
JOVO-2668,product_images/product-2668.webp,الجنيدي عصير تفاح 200مل,المشروبات
JOVO-3664,product_images/product-3664.webp,اكس ال 150مل,المشروبات
JOVO-1568,product_images/product-1568.webp,الجبريني حليب بالشوكلاتة 1لتر,المشروبات
JOVO-4136,product_images/product-4136.webp,اكوافينا مياه 1.5لتر,المشروبات
JOVO-4133,product_images/product-4133.webp,جريكو مياه 200مل,المشروبات
JOVO-3681,product_images/product-3681.webp,بفاريا تفاح 330مل,المشروبات
JOVO-2669,product_images/product-2669.webp,الجنيدي عصير عنب 150مل,المشروبات
