sku,name,category,price,costPrice,description,brand,unitLabel,barcode,stockQuantity,isVariableWeight,isFeatured,reorderLevel
JOVO-0001,البينار جبنة مغلية الربيع فاكيوم 500 غم,ألبان وأجبان,24.00,18.00,البينار جبنة مغلية الربيع فاكيوم 500 غم - 500 غم,,500 غم,,18,false,true,8
JOVO-1835,البينار برو فيت مشروب لبن عالي البروتين بطعم البسفلورا,ألبان وأجبان,8.00,6.00,البينار برو فيت مشروب لبن عالي البروتين بطعم البسفلورا - قطعة,,قطعة,,25,false,true,8
JOVO-0203,بينار فرش اب 2 لتر,ألبان وأجبان,15.00,11.25,بينار فرش اب 2 لتر - 2 لتر,,2 لتر,,32,false,false,8
JOVO-1549,حليب طازج · 2/عبوة,ألبان وأجبان,12.00,9.00,حليب طازج · 2/عبوة - قطعة,,قطعة,,39,false,false,8
JOVO-1563,الجبريني حليب طازج1ل,ألبان وأجبان,9.00,6.75,الجبريني حليب طازج1ل - قطعة,,قطعة,,46,false,false,8
JOVO-0793,ارويد حليب جوزهند 1ل,ألبان وأجبان,26.00,19.50,ارويد حليب جوزهند 1ل - قطعة,,قطعة,,53,false,false,8
JOVO-1260,كانديا جبنة مغلية 200غ,ألبان وأجبان,10.00,7.50,كانديا جبنة مغلية 200غ - قطعة,,قطعة,,60,false,false,8
JOVO-1262,بوك جبنة كريمة قابلة للدهن 500غم,ألبان وأجبان,18.00,13.50,بوك جبنة كريمة قابلة للدهن 500غم - 500غم,,500غم,,24,false,false,8
JOVO-3073,بوك قشطة 160غم,ألبان وأجبان,27.00,20.25,بوك قشطة 160غم - 160غم,,160غم,,31,false,false,8
JOVO-1926,امبورج زبدة غير مملحة 100غم,ألبان وأجبان,12.00,9.00,امبورج زبدة غير مملحة 100غم - 100غم,,100غم,,38,false,false,8
JOVO-1686,افوكادو اسود مبكت 1كغم,خضار وفواكه طازجة,30.00,22.50,افوكادو اسود مبكت 1كغم - 1كغم,,1كغم,,45,false,true,8
JOVO-3025,اجاص مستورد مبكت 1كغم,خضار وفواكه طازجة,13.00,9.75,اجاص مستورد مبكت 1كغم - 1كغم,,1كغم,,52,false,true,8
JOVO-0115,بقدونس مبكت 1حبة,خضار وفواكه طازجة,2.00,1.50,بقدونس مبكت 1حبة - 1حبة,,1حبة,,59,false,false,8
JOVO-1687,باذنجان رفيع محفور 500غم,خضار وفواكه طازجة,8.00,6.00,باذنجان رفيع محفور 500غم - 500غم,,500غم,,23,false,false,8
JOVO-3026,برقوق احمر 500غم,خضار وفواكه طازجة,7.00,5.25,برقوق احمر 500غم - 500غم,,500غم,,30,false,false,8
JOVO-0116,جرجير مبكت 1حبة,خضار وفواكه طازجة,2.00,1.50,جرجير مبكت 1حبة - 1حبة,,1حبة,,37,false,false,8
JOVO-1688,باذنجان محاشي مبكت 1كغم,خضار وفواكه طازجة,3.50,2.63,باذنجان محاشي مبكت 1كغم - 1كغم,,1كغم,,44,false,false,8
JOVO-3027,برقوق اسود مبكت 500غم,خضار وفواكه طازجة,12.00,9.00,برقوق اسود مبكت 500غم - 500غم,,500غم,,51,false,false,8
JOVO-0117,روزماري مبكت 1 حبة,خضار وفواكه طازجة,7.00,5.25,روزماري مبكت 1 حبة - 1 حبة,,1 حبة,,58,false,false,8
JOVO-1689,بروكلي مبكت 1حبة,خضار وفواكه طازجة,12.00,9.00,بروكلي مبكت 1حبة - 1حبة,,1حبة,,22,false,false,8
JOVO-1825,ريش خاروف 500غم,لحوم ودواجن وأسماك,65.00,48.75,ريش خاروف 500غم - 500غم,,500غم,,29,false,true,8
JOVO-1817,اجنحة دجاج 500غم,لحوم ودواجن وأسماك,11.00,8.25,اجنحة دجاج 500غم - 500غم,,500غم,,36,false,true,8
JOVO-0196,اسماك البايض فيليه باسا مجمد 1ك,لحوم ودواجن وأسماك,20.00,15.00,اسماك البايض فيليه باسا مجمد 1ك - قطعة,,قطعة,,43,false,false,8
JOVO-2184,تنوفا سنيتشل اصابع سمسم 700غ,لحوم ودواجن وأسماك,32.00,24.00,تنوفا سنيتشل اصابع سمسم 700غ - قطعة,,قطعة,,50,false,false,8
JOVO-3311,الاسلامية بسطرما حبش مدخن 800غم,لحوم ودواجن وأسماك,22.00,16.50,الاسلامية بسطرما حبش مدخن 800غم - 800غم,,800غم,,57,false,false,8
JOVO-3328,الاسلامية بسطرما 200غم,لحوم ودواجن وأسماك,7.00,5.25,الاسلامية بسطرما 200غم - 200غم,,200غم,,21,false,false,8
JOVO-0870,الاسلامية برجر دجاج 420غم,لحوم ودواجن وأسماك,12.00,9.00,الاسلامية برجر دجاج 420غم - 420غم,,420غم,,28,false,false,8
JOVO-4189,الاسلامية كبانوس 250 غم,لحوم ودواجن وأسماك,8.00,6.00,الاسلامية كبانوس 250 غم - 250 غم,,250 غم,,35,false,false,8
JOVO-3243,بوندي شيف تونة حار140غم,لحوم ودواجن وأسماك,6.00,4.50,بوندي شيف تونة حار140غم - 140غم,,140غم,,42,false,false,8
JOVO-3236,سنيورة لانشون بقري 225غم,لحوم ودواجن وأسماك,7.00,5.25,سنيورة لانشون بقري 225غم - 225غم,,225غم,,49,false,false,8
JOVO-1603,الاسلامية بازيلاء مع جزر 500 غم,المجمدات,8.00,6.00,الاسلامية بازيلاء مع جزر 500 غم - 500 غم,,500 غم,,56,false,true,8
JOVO-1036,بليسيما بيتزا مفرزة مرغريتا مع زيتون 370غم,المجمدات,26.00,19.50,بليسيما بيتزا مفرزة مرغريتا مع زيتون 370غم - 370غم,,370غم,,20,false,true,8
